"id","name","gid"
"212","Futureheads","0cf9d983-aecf-4d57-9e94-fde2beac014f"
"213","Housemeister","fbff36fb-9cc4-49f3-a704-b4e846df18f7"
"214","Jaymo","eeb0cc61-8632-41cc-b9b7-5f2215f89b61"
"215","AC Slater","00d37ae3-fe24-49b8-855d-29df409c9229"
"216","Kasper Bjørke","04f3f525-ea30-475d-a0bf-462016828e09"
"217","Billie Ray Martin","c4af6041-f886-491a-81dc-c4c8245c4bd5"
"218","Britney Spears","45a663b5-b1cb-4a91-bff6-2bef7bbfdd76"
"219","Oasis","a7a848c3-515d-4486-9e69-dc7491dd3bd1"
"220","Treasure Fingers","cbedbebe-8d4e-42cd-b313-8b1c8d349cda"
"221","Missy Elliot",\N
"222","Jackson Jackson","302499de-6d4c-4cef-8d35-1ab2c597d3c3"
"223","Spragga Benz","d0e97e77-b74d-4b1f-a84f-c3125a2b962d"
"224","Rockland",\N
"225","The Martin Brothers","cc68bdb9-cc3f-4f63-8082-21951d07707d"
"226","Dean Martin","5e6c760b-42e0-4df4-a221-0269355da00a"
"227","Elvis Presley","01809552-4f87-45b0-afff-2c6f0730a3be"
"228","Kid Sister","62d8c600-1830-49ac-89b3-edcf60d7471e"
"229","Jokers Of The Scene","6fae4f4f-2595-4a19-a8c0-9fb8aff75bda"
"230","Shane Shoe",\N
"231","Leif","b1255bc8-4e89-4061-bc01-2b7000b4b85f"
"232","Ferenc","64139201-e0c6-446d-b183-8b8f47478d42"
"233","Inflagranti","bf6668ca-e28f-4062-a419-ee4d587ec2a4"
"234","Legowelt","764eb299-d4a6-4a9d-af8b-d0dcf7b3d3ca"
"235","Joseph Capriati","b523b6b8-f2ea-4d6c-ba23-f25e02715727"
"236","Foamo","e4d901a0-a646-44f8-a0e2-565d4b067133"
"237","Starfucker","0a19e3e4-7970-4adf-8439-90bdcc9c8661"
"238","The Hours","42685d8f-4f9b-4d45-a72c-43bfb5e60dc1"
"239","Sister Nancy","73ee98fc-7e8c-465d-b42c-8772ebc53de8"
"240","2Pac","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"241","Natasja","6b678f17-c410-4027-8c74-e071de98b216"
"242","Evil Nine ft. El-P",\N
"243","Foxy Brown","fd87374e-ffde-4d36-89a8-8a073f795666"
"244","Toni! Tony! Tone!",\N
"245","The Original Gangsters Of Freestyle",\N
"246","Rihanna","73e5e69d-3554-40d8-8516-00cb38737a1c"
"247","Paul Johnson","07065c90-1519-4bd9-8259-9872f3c9a776"
"248","Birdman & Lil Wayne",\N
"249","Pink Floyd","83d91898-7763-47d7-b03b-b92132375c47"
"250","Julian Jeweil","8355538f-34f1-4347-a090-5f1bd259c41a"
"251","Little Boots vs. Opus 3",\N
"252","Kotchy","710dc1f4-6b1a-479c-a46e-803155fef371"
"253","Jason Tyler",\N
"254","Crystal Waters","8f4c7ad3-c95c-4d62-a554-3416fb5204f4"
"255","Late Of The Pier","e3e4e534-30cd-4979-bcc5-a75c49802f57"
"256","The Menu","dacd78c1-1a88-4e4f-ac68-e3a05d9cd710"
"257","Diplo & Buraka Som Sistema",\N
"258","Mujava",\N
"259","Debonair Samir","815e1353-5ddb-41c1-8f69-e8ec1e189f65"
"260","Big L","9ccc64ad-65d6-48d4-9514-9786ad3e2ac9"
"261","Douster","34d9fa21-fbb7-468f-9caa-ff942a3f550f"
"262","Bass Kleph","4c95ce21-15d7-4563-b123-3778bb692f1b"
"263","Graveleaf","240aea76-9470-4a2b-bb89-234c1112a327"
"264","Camille Jones","fa590fc3-54e5-4ffd-9e47-aec0f395bc16"
"265","Sisters Of Transistors","ca3ee934-b516-407a-b762-da69336f6b67"
"266","James Pants","4e40b975-270b-4f97-b295-8db157f06a77"
"267","Duffy","4e0e884d-099b-4ca9-bf4d-bcb31e739540"
"268","Jimi Hendrix","06fb1c8b-566e-4cb2-985b-b467c90781d4"
"269","Gotye","6f6fd596-76e0-4b82-aa37-f558ac2d337b"
"270","Niyi","56601499-d05a-4086-b203-0b6a5b45fde6"
"271","Ame","df81ee2f-aea1-4290-8d87-9373cbf186b9"
"272","Mick Willow",\N
"273","Lauren Flax feat Sia",\N
"274","Fake Blood","b5232ddf-8e3c-4bde-a63f-47e88cb8ae11"
"275","Mikix The Cat","37756a0c-2d5c-4b7b-b0d7-7bda1cb20215"
"276","Afasi & Filthy","5e9eb95d-d8f2-487e-bcee-ddb818a14940"
"277","N.A.S.A.","3f19d594-f107-4937-9d84-5e9ffb75550e"
"278","Quincy Jones & His Orchestra",\N
"279","Otto Von Shirach",\N
"280","Van She","a05b1b41-e959-4867-9f04-ee7ae15fa047"
"281","Le Corps Mince De Francois",\N
"282","The Death Set","7ec4f94d-bd26-408d-a81b-4df4cae674f2"
"283","DJ Wool",\N
"284","Crookers","ff711332-b409-44dd-ad1d-f7714f8906db"
"285","Martin Luther King Jr.",\N
"286","Sandy Vee","a4e24871-8dad-4862-9939-ae921d2c5553"
"287","Joachim Garraud","3b2cd278-9aeb-4393-bf57-8c296002eb9d"
"288","Dj Hyperacive",\N
"289","Big Gipp","5cb395b6-1cb9-4c9c-a79a-01a66513d1f6"
"290","DJ Tonka","695217e0-a68e-4a75-b20d-2e97f38a49be"
"291","Steve Angello","4069600e-55c1-46dd-814f-4166d5b5dbba"
"292","Lykke Li","cc7d4686-ea02-45fd-956e-94c1a322558c"
"293","Julien Jabre","dde350dd-b736-4abc-9de5-464fa1ba8659"
"294","John Legend","75a72702-a5ef-4513-bca5-c5b944903546"
"295","The Presets","f5b8ea5f-c269-45dd-9936-1fedf3c56851"
"296","Coyote","a5a68b4a-9941-48e0-a885-5108b45cba31"
"297","ROW ROW FIGHT THE POWAH",\N
"298","Arthur & Yu","37d5282b-92e8-4307-8c80-0c6538aebf83"
"299","The Buttless Chaps","6ef203af-4130-43f8-83c6-58168b95bb81"
"300","A man for all seasons",\N
"301","Le Loup","6a22414d-1cfd-47e1-a517-c68dcf46b490"
"302","The Pica Beats","4faddadd-d1f5-4541-ac46-16d63e8e308e"
"303","Secret Dakota Ring","143bafc2-368d-4ad4-862a-028304eaefa6"
"304","Dancer Vs. Politician","693801cc-ddae-449d-bbfb-a1266f34e67a"
"305","Dent May & His Magnificent Ukulele",\N
"306","Frank Hoier",\N
"307","Mercury Rev","7b1cf87e-c54f-4abc-893d-90245a31900d"
"308","Our Brother The Native","c4143d9c-4d4f-48ee-8dbc-db43293f6964"
"309","Proud Simon","32b36dbf-889a-498c-9109-a98b3630413d"
"310","Hackensaw Boys","099f7dff-ea35-42a0-9578-f7e7a0d7da9a"
"311","Hamell On Trial","6bafa814-5b7a-4c08-998d-c15c8db8d92a"
"312","Matt Nathanson","e28dbf43-a2d9-4651-908f-1879ad67d30e"
"313","Pelican","5a797e16-f69a-4957-820f-1152ec19d236"
"314","Smashing Pumpkins",\N
"315","Steve Wynn","5eb64fa9-5231-4a9b-8742-e72c2d185519"
"316","Secret Crush Society",\N
"317","drive by truckers","8eae1e0a-1696-4532-9e3c-0a072217ef4c"
"318","Patterson Hood","701312f1-3bef-40fd-9144-e7d1280af6b7"
"319","DM Stith","6bf3cbbf-be85-4ad3-8bc5-c4e96276828b"
"320","Ford & Fitzroy",\N
"321","The Henry Clay People","315e7954-d85d-4cca-88bf-e5421f3a36db"
"322","Kyle Andrews","84dc3ad0-e2af-49b9-8a47-2cf7c60960ba"
"323","Sun Airway","f64e99a1-9b0b-4e66-ad35-ab57c9de678e"
"324","The Brazda Brothers","66a12535-f99c-4f66-96aa-790e5ff17959"
"325","Nite Jewel","0d58f45e-1a53-4dc3-bea6-16836f03aa1d"
"326","Chromatics","c89ea689-c053-4d97-bada-8b81a6236f58"
"327","Reefer","58a511e8-125d-4fd7-9ac5-649af7c36a0a"
"328","Telepathy (dja remix)",\N
"329","PVC Street Gang",\N
"330","The Splinters",\N
"331","The Muslims","1db1716c-ef55-4fc0-9761-b049d63fbf0a"
"332","The Very Best (Esau Mwamwaya & Radioclit)",\N
"333","www.maddecent.com",\N
"334","DJ Drama & Lil Wayne",\N
"335","VEGA","b259f304-ceb1-4ec3-9175-a6e6b2cd2b9a"
"336","Get Back Guinozzi !",\N
"337","White Denim","42e49814-6058-431c-80e2-a3aab424060d"
"338","Delia Derbyshire & Barry Bermange",\N
"339","Marissa Nadler","06ae569e-0b5b-4cd7-aded-98c3ad743ca3"
"340","PRGz - Diplo Remix",\N
"341","Banjo or Freakout","79b4aa91-81ea-4522-80d8-9b28e1869695"
"342","Fela Kuti","6514cffa-fbe0-4965-ad88-e998ead8a82a"
"343","Larkin Grimm","1b9ddfca-2a5c-438b-9457-720cc51f93a3"
"344","The Roots (ft. Lil Wayne),The Roots",\N
"345","The Notwist","f180cec2-9421-4417-a841-c7372090d13d"
"346","Volcano Suns","4837e8d3-a13f-4670-9684-82970411f4bc"
"347","Lou Reed","9d1ebcfe-4c15-4d18-95d3-d919898638a1"
"348","Matthew Herbert Big Band","0a6eb633-fb2c-4683-9783-58c4e86ea740"
"349","Instamatic","6af92276-e285-420f-b629-b64cec248549"
"350","Little Jinder","df869fc1-60ab-4d16-8050-ac4321b06b2c"
"351","Entertainment","6814fd39-b84f-419a-b9dd-09ef34a58f90"
"352","Le Castle Vania","c21a699a-c7ae-4fec-8490-48c1eaee06e4"
"353","WOW","17ac0796-da12-4185-8741-d1583599c74f"
"354","IAMX","e4d05411-9a3d-452e-8b0e-a55b86b7cf85"
"355","HEARTSREVOLUTION","158535ff-f2bb-45b3-a53f-c41c38a2b2f8"
"356","Kid Cudi","e0e1db18-f7ba-4dee-95ff-7ae8cf545460"
"357","Kap10kurt","f854ae63-48bd-443d-86d8-469a8b2f7d2e"
"358","Sue Gatlin",\N
"359","The Sky Drops","57ff656a-97f4-4d40-a931-bbced507d4eb"
"360","The Gay Blades","13be97ad-cdf3-4c53-b6c3-a401a10fde5e"
"361","Daniel Pinkwater",\N
"362","+,- [Plus Minus}",\N
"363","+/-","2624e8b9-3f77-453d-85e8-6a8c9e5b9d65"
"364","Paul Westerberg","d558f844-4db0-4bc3-ba22-49ad2ca2722e"
"365","Ernest Gonzales","25f7f810-3dc0-400e-a8e3-796819450264"
"366","Polara","e2677f0a-54da-421d-9ef2-c77aa8d17509"
"367","Leila","14039c7d-b67e-46cd-9cf3-f252d0e83879"
"368","Jenny Lewis","9ad6d1e3-427f-4921-b603-7e9eda94a061"
"369","Now, Now Every Children","42609e95-680e-45ff-b34f-67d3349f67d4"
"370","RickoLus","1dcd061a-adce-4dc8-915d-0942be7e0656"
"371","Penny and Ashtray","2ca1be93-c191-4d29-9ec2-0a22557ab506"
"372","Flunk","101e0102-841f-4858-972b-edf716ee67c9"
"373","Fleet Foxes","fa97dd36-1b82-43d7-a6e4-2adeafd59cef"
"374","Kermit The Frog","992a7ea8-96c1-4058-ba96-f811c8d01c77"
"375","various artists","89ad4ac3-39f7-470e-963a-56509c546377"
"376","Wire","7f2a8098-50e3-451c-8696-c5d9f64f4762"
"377","Randy Newman","da7bb7d8-557d-4635-9ca1-e6e985525bd5"
"378","The Walkmen","b7834ebd-64ae-46c3-a930-2d3a52ee743a"
"379","Bruce Springsteen","70248960-cb53-4ea4-943a-edb18f7d336f"
"380","Whiskeytown","fdb40275-50df-4894-8481-573e86956e81"
"381","Blitzen Trapper","a186c93d-0f30-4c56-9265-98c0eba19242"
"382","Don Chambers","2c21597e-7755-487d-bec4-9ee6098bdad1"
"383","Don Chambers And Goat","a4ca9bc2-1875-4f77-a498-68e525d49f25"
"384","Le Switch","a44e271d-2ba9-4155-b9f8-557f98f04aac"
"385","Jeff Hanson","9d0cad59-d631-4dd8-b1cf-ddcfe5287f81"
"386","Le Corps Mince De Françoise","4b134e87-4b95-4efb-8167-ef9a87919531"
"387","Rampage","25b06ebb-aa50-4a01-a2e6-febfb84337e9"
"388","Lunatic Asylum","b2751e86-4805-4b9e-a335-88219e3b7b8c"
"389","AutoErotique","25c93ea5-861c-4e44-ba32-a17bf6ca80b5"
