"id","gid","male","female"
"240","3e55d51d-687f-4a9d-af96-2fabccf802e5","10806","17387"
"241","214d84a5-e9e5-4432-af95-8c84da7ba4c0","9107","10344"
"242","4b462375-c508-432a-8c88-ceeec38b16ae","7901","4576"
"243","c7020c6d-cae9-4db3-92a7-e5c561cbad50","12311","21855"
"244","7bf1f441-ccf1-4258-9797-07c8d16eb44c","19519","11921"
"245","14387b0f-765c-4852-852f-135335790466","14527","12904"
"246","a9ee533f-8871-4f62-a6bb-91eb264abc90","11690","20494"
"247","8a3e1c4f-59a8-457a-826c-fe961419a8ae","14499","20148"
"248","f82f3a3e-29c2-42ca-b589-bc5dc210fa9e","11578","24312"
"249","eaf6a7ca-105d-4a94-ba02-8c3e4040319a","9895","24573"
"250","aaae25bf-c794-45d7-bab7-cdc7c655bfa6","9894","7722"
"251","da12455f-733b-46b4-ad6b-aa575914fc6b","7310","7566"
"252","32efea44-6cb5-4b4f-bdaa-c8b8f6cef981","18635","15439"
"253","73fd884f-c4df-4852-9f4a-13057d0a3ebd","13145","11024"
"254","3fb82188-64ff-445e-a7a2-5df527a0f575","1311","866"
"255","ea9078ef-20ca-4506-81ea-2ae5fe3a42e8","20095","5856"
"256","9639cd52-c351-4a17-9797-58880e95a7ef","2683","2251"
"257","83f1cb07-1745-48e6-8576-428604e67aa8","6309","5196"
"258","1bc2d696-c0e2-480d-87ed-17b2a82d7983","5820","3837"
"259","82c5d269-41b3-498b-8596-d960c7556268","5039","2199"
"260","c8a4c5dd-d332-4045-92ea-a8a7970ec294","1506","1320"
"261","081b133e-ce74-42ba-92c1-c18234acb532","11842","17764"
"262","c9fa426f-2209-4d00-9b94-9f0a20466990","414","315"
"263","f25ede63-ae9d-4070-bf36-0d1cbe2ee1f3","1396","988"
"264","1cc5e789-3486-4a1b-8a38-fa2b59f4634e","3928","3237"
"265","2119beb8-6ac5-4f21-82a4-b831c90c0024","11218","24999"
"266","fbb375f9-48bb-4635-824e-4120273b3ba7","10580","24691"
"267","c787a7a5-e143-4ba6-86df-fab2354dcd44","11765","6897"
"268","cae368cc-fcc6-4d09-b876-c2790c8d7376","1268","974"
"269","46f4e349-ddec-4131-9367-91b630a821d0","6187","5542"
"270","19202b40-eb93-48a0-b6fc-fce9568182aa","3335","1240"
"271","b3c94036-6166-41d2-91a2-dc3a0b5fa188","17910","9862"
"272","0ee7e64d-90ca-406b-b59a-3e551c556dbe","5195","2812"
"273","ca48bfb8-37c5-4a04-9837-a07975ee0cd3","7327","4295"
"274","6cbe1e63-5895-4168-ac7e-f0d2836ba0c1","12822","22430"
"275","1f16a425-2606-4137-a6b7-234b6dabe037","15940","15375"
"276","22a40b75-affc-4e69-8884-266d087e4751","16099","23501"
"277","7cc385f3-333c-48de-b341-3d728de74973","10150","9989"
"278","ac7e838c-3d95-47c2-92a9-81767ad7c217","15578","19495"
"279","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","22809","19380"
"280","be04c6a7-f7e8-4236-8124-3883d05eb259","5258","3967"
"281","aba64937-3334-4c65-90a1-4e6b9d4d7ada","22496","9627"
"282","85823097-9e6c-4876-a04a-8a761a477992","17627","7755"
"283","0f8bd5a7-c915-4e00-a035-fe3969e9a9b1","12273","17481"
"284","e84a64f9-cf28-477d-a31a-f43514011918","17218","21195"
"285","5bf64d94-efd9-4334-96fd-e6197b0b02b8","9382","9249"
"286","74134743-106c-47a6-bb8d-5c9efde7818c","18988","14141"
"287","c616aef1-e21f-46f8-864f-b7bad96f41b2","2763","1134"
"288","f43370e3-6d86-44e7-ae4c-ca098962dcd0","2326","1521"
"289","451f8f16-990a-412c-ab3a-b61e5d265b55","12585","10764"
"290","bf103bec-70e3-45a5-9d1b-97715db04a96","4028","2526"
"291","f0b1ed6b-9dae-45f3-b82c-eed12c9bf40e","454","309"
"292","ca5fb5c0-c3ff-4c34-bed5-19fdfdffb58f","7020","7342"
"293","f7df5df4-4dfa-459d-972b-1ba051c15ddc","3935","4127"
"294","fca8cdfa-120d-49ec-b1da-0ff8aa90c3ab","20327","13625"
"295","8e68819d-71be-4e7d-b41d-f1df81b01d3f","20336","10320"
"296","a1419808-65d3-4d40-998c-1a0bac65eabc","16103","19437"
"297","23b58ea2-1cc3-468a-9e76-5027e196e851","14281","19886"
"298","aa7a2827-f74b-473c-bd79-03d065835cf7","14277","19312"
"299","69b39eab-6577-46a4-a9f5-817839092033","20005","18477"
"300","144ef525-85e9-40c3-8335-02c32d0861f3","11943","24033"
"301","3c8ff4c9-b5b9-4e78-ad9d-5157c323de24","1166","966"
"302","02a6e3af-0c07-4b9c-8271-88c09ef9b0e7","3277","3397"
"303","0af78501-5647-4c18-9a0d-66ac8789e13b","13711","20634"
"304","66e7121a-2fd6-4635-a116-61c70306fbea","1029","923"
"305","e48995e0-6ff9-43ba-b942-9f0875fcc712","1291","1547"
