"id","gid","name","gid_similar"
"1906","eb526f04-1dd0-42eb-8386-1ff6579926a1","Shop Assistants","eb526f04-1dd0-42eb-8386-1ff6579926a1"
"1907","7a86ff6f-cdfc-4ac3-97ca-6a48b8d1b8cd","The Field Mice","7a86ff6f-cdfc-4ac3-97ca-6a48b8d1b8cd"
"1908","449e44cb-bcae-4c48-a1af-5d8df0f81456","Beat Happening","449e44cb-bcae-4c48-a1af-5d8df0f81456"
"1909","bba6e208-a089-431e-9a52-177d0ba6b4dc","Talulah Gosh","bba6e208-a089-431e-9a52-177d0ba6b4dc"
"1910",\N,"Another Sunny Day","8b0b1402-88f7-4eda-a857-f07f134d9a85"
"1911","bba6e208-a089-431e-9a52-177d0ba6b4dc","Talulah Gosh","bba6e208-a089-431e-9a52-177d0ba6b4dc"
"1912",\N,"The Flatmates","e2cc4cea-d3c6-4279-8468-615fce1b56fa"
"1913",\N,"Dolly Mixture","c2f0fb92-4e5d-4136-97d9-043e10ee1154"
"1914","653b286f-fb28-459c-91f3-5968b6aa6169","The Sea Urchins","653b286f-fb28-459c-91f3-5968b6aa6169"
"1915","707622da-475f-48e1-905d-248718df6521","The Wedding Present","707622da-475f-48e1-905d-248718df6521"
"1916",\N,"Ballboy","8e07e48a-e711-4f77-8309-fa5e4c460d73"
"1917",\N,"John Cooper Clarke","7df6e6eb-8e3a-4402-a243-b5b01f0d9bec"
"1918",\N,"Ivor Cutler","5845b9fb-e5aa-4e96-9f62-6e8ec4b02c39"
"1919","d5da1841-9bc8-4813-9f89-11098090148e","The Fall","d5da1841-9bc8-4813-9f89-11098090148e"
"1920",\N,"Mackenzies","d1a2bf6e-a6f5-4fe5-a6d5-02b1528a5929"
"1921",\N,"The Age Of Chance","0"
"1922",\N,"The Shrubs","e024c194-2933-47be-a52b-d3bd372070bf"
"1923",\N,"A Witness","e42215ff-4126-4bd2-b56e-319a1e5c1356"
"1924",\N,"Big Flame","73671047-7395-4ec0-ac6c-b412cefbc604"
"1925","2e7347dd-3177-4062-b4e9-8f682cbdaf7f","Yo Majesty","2e7347dd-3177-4062-b4e9-8f682cbdaf7f"
"1926","62d8c600-1830-49ac-89b3-edcf60d7471e","Kid Sister","62d8c600-1830-49ac-89b3-edcf60d7471e"
"1927","a6cf5c5c-7432-4ac7-801a-cef2b03e81bb","Amanda Blank","a6cf5c5c-7432-4ac7-801a-cef2b03e81bb"
"1928","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971","Plastic Little","1423a2be-3a9d-44dc-a86e-741f9ef7e0e8"
"1929","1524122d-ad9d-48e8-9d02-f7eaef15bef9","Princess Superstar","1524122d-ad9d-48e8-9d02-f7eaef15bef9"
"1930",\N,"Luminous Orange","3c82a8e6-d738-41a6-bcfe-474204011472"
"1931",\N,"MASS OF THE FERMENTING DREGS","1a19b0cd-fa9d-4363-b130-b3eb394cf373"
